"admin2","admin2_name","hdx_pcode"
"05","ANTIOQUIA","COL-05"
"08","ATLÁNTICO","COL-08"
"11","BOGOTÁ, D. C.","COL-11"
"13","BOLÍVAR","COL-13"
"15","BOYACÁ","COL-15"
"17","CALDAS","COL-17"
"18","CAQUETÁ","COL-18"
"19","CAUCA","COL-19"
"20","CESAR","COL-20"
"23","CÓRDOBA","COL-23"
"25","CUNDINAMARCA","COL-25"
"27","CHOCÓ","COL-27"
"41","HUILA","COL-41"
"44","LA GUAJIRA","COL-44"
"47","MAGDALENA","COL-47"
"50","META","COL-50"
"52","NARIÑO","COL-52"
"54","NORTE DE SANTANDER","COL-54"
"63","QUINDÍO","COL-63"
"66","RISARALDA","COL-66"
"68","SANTANDER","COL-68"
"70","SUCRE","COL-70"
"73","TOLIMA","COL-73"
"76","VALLE DEL CAUCA","COL-76"
"81","ARAUCA","COL-81"
"85","CASANARE","COL-85"
"86","PUTUMAYO","COL-86"
"88","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y ","COL-88"
"91","AMAZONAS","COL-91"
"94","GUAINÍA","COL-94"
"95","GUAVIARE","COL-95"
"97","VAUPÉS","COL-97"
"99","VICHADA","COL-99"
