"admin3","admin3_name","hdx_pcode"
"05001","MEDELLIN","COL-05001"
"05002","ABEJORRAL","COL-05002"
"05004","ABRIAQUI","COL-05004"
"05021","ALEJANDRIA","COL-05021"
"05030","AMAGA","COL-05030"
"05031","AMALFI","COL-05031"
"05034","ANDES","COL-05034"
"05036","ANGELOPOLIS","COL-05036"
"05038","ANGOSTURA","COL-05038"
"05040","ANORI","COL-05040"
"05042","SANTAFE DE ANTIOQUIA","COL-05042"
"05044","ANZA","COL-05044"
"05045","APARTADO","COL-05045"
"05051","ARBOLETES","COL-05051"
"05055","ARGELIA","COL-05055"
"05059","ARMENIA","COL-05059"
"05079","BARBOSA","COL-05079"
"05086","BELMIRA","COL-05086"
"05088","BELLO","COL-05088"
"05091","BETANIA","COL-05091"
"05093","BETULIA","COL-05093"
"05101","CIUDAD BOLIVAR","COL-05101"
"05107","BRICEÑO","COL-05107"
"05113","BURITICA","COL-05113"
"05120","CACERES","COL-05120"
"05125","CAICEDO","COL-05125"
"05129","CALDAS","COL-05129"
"05134","CAMPAMENTO","COL-05134"
"05138","CAÑASGORDAS","COL-05138"
"05142","CARACOLI","COL-05142"
"05145","CARAMANTA","COL-05145"
"05147","CAREPA","COL-05147"
"05148","CARMEN DE VIBORAL","COL-05148"
"05150","CAROLINA","COL-05150"
"05154","CAUCASIA","COL-05154"
"05172","CHIGORODO","COL-05172"
"05190","CISNEROS","COL-05190"
"05197","COCORNA","COL-05197"
"05206","CONCEPCION","COL-05206"
"05209","CONCORDIA","COL-05209"
"05212","COPACABANA","COL-05212"
"05234","DABEIBA","COL-05234"
"05237","DON MATIAS","COL-05237"
"05240","EBEJICO","COL-05240"
"05250","EL BAGRE","COL-05250"
"05264","ENTRERRIOS","COL-05264"
"05266","ENVIGADO","COL-05266"
"05282","FREDONIA","COL-05282"
"05284","FRONTINO","COL-05284"
"05306","GIRALDO","COL-05306"
"05308","GIRARDOTA","COL-05308"
"05310","GOMEZ PLATA","COL-05310"
"05313","GRANADA","COL-05313"
"05315","GUADALUPE","COL-05315"
"05318","GUARNE","COL-05318"
"05321","GUATAPE","COL-05321"
"05347","HELICONIA","COL-05347"
"05353","HISPANIA","COL-05353"
"05360","ITAGUI","COL-05360"
"05361","ITUANGO","COL-05361"
"05364","JARDIN","COL-05364"
"05368","JERICO","COL-05368"
"05376","LA CEJA","COL-05376"
"05380","LA ESTRELLA","COL-05380"
"05390","LA PINTADA","COL-05390"
"05400","LA UNION","COL-05400"
"05411","LIBORINA","COL-05411"
"05425","MACEO","COL-05425"
"05440","MARINILLA","COL-05440"
"05467","MONTEBELLO","COL-05467"
"05475","MURINDO","COL-05475"
"05480","MUTATA","COL-05480"
"05483","NARIÑO","COL-05483"
"05490","NECOCLI","COL-05490"
"05495","NECHI","COL-05495"
"05501","OLAYA","COL-05501"
"05541","PEÑOL","COL-05541"
"05543","PEQUE","COL-05543"
"05576","PUEBLORRICO","COL-05576"
"05579","PUERTO BERRIO","COL-05579"
"05585","PUERTO NARE","COL-05585"
"05591","PUERTO TRIUNFO","COL-05591"
"05604","REMEDIOS","COL-05604"
"05607","RETIRO","COL-05607"
"05615","RIONEGRO","COL-05615"
"05628","SABANALARGA","COL-05628"
"05631","SABANETA","COL-05631"
"05642","SALGAR","COL-05642"
"05647","SAN ANDRES","COL-05647"
"05649","SAN CARLOS","COL-05649"
"05652","SAN FRANCISCO","COL-05652"
"05656","SAN JERONIMO","COL-05656"
"05658","SAN JOSE DE LA MONTAÑA","COL-05658"
"05659","SAN JUAN DE URABA","COL-05659"
"05660","SAN LUIS","COL-05660"
"05664","SAN PEDRO","COL-05664"
"05665","SAN PEDRO DE URABA","COL-05665"
"05667","SAN RAFAEL","COL-05667"
"05670","SAN ROQUE","COL-05670"
"05674","SAN VICENTE","COL-05674"
"05679","SANTA BARBARA","COL-05679"
"05686","SANTA ROSA DE OSOS","COL-05686"
"05690","SANTO DOMINGO","COL-05690"
"05697","SANTUARIO","COL-05697"
"05736","SEGOVIA","COL-05736"
"05756","SONSON","COL-05756"
"05761","SOPETRAN","COL-05761"
"05789","TAMESIS","COL-05789"
"05790","TARAZA","COL-05790"
"05792","TARSO","COL-05792"
"05809","TITIRIBI","COL-05809"
"05819","TOLEDO","COL-05819"
"05837","TURBO","COL-05837"
"05842","URAMITA","COL-05842"
"05847","URRAO","COL-05847"
"05854","VALDIVIA","COL-05854"
"05856","VALPARAISO","COL-05856"
"05858","VEGACHI","COL-05858"
"05861","VENECIA","COL-05861"
"05873","VIGIA DEL FUERTE","COL-05873"
"05885","YALI","COL-05885"
"05887","YARUMAL","COL-05887"
"05890","YOLOMBO","COL-05890"
"05893","YONDO","COL-05893"
"05895","ZARAGOZA","COL-05895"
"08001","BARRANQUILLA","COL-08001"
"08078","BARANOA","COL-08078"
"08137","CAMPO DE LA CRUZ","COL-08137"
"08141","CANDELARIA","COL-08141"
"08296","GALAPA","COL-08296"
"08372","JUAN DE ACOSTA","COL-08372"
"08421","LURUACO","COL-08421"
"08433","MALAMBO","COL-08433"
"08436","MANATI","COL-08436"
"08520","PALMAR DE VARELA","COL-08520"
"08549","PIOJO","COL-08549"
"08558","POLONUEVO","COL-08558"
"08560","PONEDERA","COL-08560"
"08573","PUERTO COLOMBIA","COL-08573"
"08606","REPELON","COL-08606"
"08634","SABANAGRANDE","COL-08634"
"08638","SABANALARGA","COL-08638"
"08675","SANTA LUCIA","COL-08675"
"08685","SANTO TOMAS","COL-08685"
"08758","SOLEDAD","COL-08758"
"08770","SUAN","COL-08770"
"08832","TUBARA","COL-08832"
"08849","USIACURI","COL-08849"
"11001","BOGOTA D.C.","COL-11001"
"13001","CARTAGENA","COL-13001"
"13006","ACHI","COL-13006"
"13030","ALTOS DEL ROSARIO","COL-13030"
"13042","ARENAL","COL-13042"
"13052","ARJONA","COL-13052"
"13062","ARROYOHONDO","COL-13062"
"13074","BARRANCO DE LOBA","COL-13074"
"13140","CALAMAR","COL-13140"
"13160","CANTAGALLO","COL-13160"
"13188","CICUCO","COL-13188"
"13212","CORDOBA","COL-13212"
"13222","CLEMENCIA","COL-13222"
"13244","EL CARMEN DE BOLIVAR","COL-13244"
"13248","EL GUAMO","COL-13248"
"13268","EL PEÑON","COL-13268"
"13300","HATILLO DE LOBA","COL-13300"
"13430","MAGANGUE","COL-13430"
"13433","MAHATES","COL-13433"
"13440","MARGARITA","COL-13440"
"13442","MARIA LA BAJA","COL-13442"
"13458","MONTECRISTO","COL-13458"
"13468","MOMPOS","COL-13468"
"13473","MORALES","COL-13473"
"13490","NOROSI","COL-13490"
"13549","PINILLOS","COL-13549"
"13580","REGIDOR","COL-13580"
"13600","RIO VIEJO","COL-13600"
"13620","SAN CRISTOBAL","COL-13620"
"13647","SAN ESTANISLAO","COL-13647"
"13650","SAN FERNANDO","COL-13650"
"13654","SAN JACINTO","COL-13654"
"13655","SAN JACINTO DEL CAUCA","COL-13655"
"13657","SAN JUAN NEPOMUCENO","COL-13657"
"13667","SAN MARTIN DE LOBA","COL-13667"
"13670","SAN PABLO","COL-13670"
"13673","SANTA CATALINA","COL-13673"
"13683","SANTA ROSA","COL-13683"
"13688","SANTA ROSA DEL SUR","COL-13688"
"13744","SIMITI","COL-13744"
"13760","SOPLAVIENTO","COL-13760"
"13780","TALAIGUA NUEVO","COL-13780"
"13810","TIQUISIO","COL-13810"
"13836","TURBACO","COL-13836"
"13838","TURBANA","COL-13838"
"13873","VILLANUEVA","COL-13873"
