"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"05001000","MEDELLÍN","COL-"
"05001001","PALMITAS","COL-"
"05001004","SANTA ELENA","COL-"
"05001005","PEDREGAL ALTO","COL-"
"05001009","ALTAVISTA","COL-"
"05001010","AGUAS FRÍAS","COL-"
"05001012","LA LOMA","COL-"
"05001013","SAN JOSÉ DEL MANZANILLO","COL-"
"05001014","BARRO BLANCO","COL-"
"05001015","EL CERRO","COL-"
"05001017","EL PATIO","COL-"
"05001018","EL PLACER","COL-"
"05001019","EL PLAN","COL-"
"05001020","EL TESORO","COL-"
"05001022","LA ALDEA","COL-"
"05001023","LA CUCHILLA","COL-"
"05001024","LA FLORIDA","COL-"
"05001025","LA PALMA","COL-"
"05001027","LAS PLAYAS","COL-"
"05001029","PIEDRA GORDA","COL-"
"05001031","POTRERITO","COL-"
"05001032","TRAVESIAS","COL-"
"05001033","URQUITA","COL-"
"05001034","BARRIOS DE JESÚS","COL-"
"05001035","BOQUERÓN","COL-"
"05001036","CHACALTAYA","COL-"
"05001037","EL CORAZÓN","COL-"
"05001038","EL JARDÍN","COL-"
"05001039","LLANO 1","COL-"
"05001040","EL LLANO 2","COL-"
"05001041","EL UVITO","COL-"
"05001042","LA AVANZADA","COL-"
"05001043","LA CRUZ","COL-"
"05001044","LA ESPERANZA","COL-"
"05001045","LA FRISOLA","COL-"
"05001046","LA GABRIELA","COL-"
"05001047","LA LADERA","COL-"
"05001048","LA VERDE","COL-"
"05001049","LA VOLCANA","COL-"
"05001050","LOS NARANJOS","COL-"
"05001051","LLANADITAS","COL-"
"05001052","MATASANO","COL-"
"05001053","MATASANO 1","COL-"
"05001054","MATASANO 2","COL-"
"05001055","MAZO","COL-"
"05001056","MAZO 1","COL-"
"05001057","MEDIA LUNA","COL-"
"05001058","MEDIAN LUNA 1","COL-"
"05001059","MIRADOR DEL POBLADO","COL-"
"05001060","OCHO DE MARZO","COL-"
"05001061","ORIENTE","COL-"
"05001062","POTRERA MISERENGA","COL-"
"05001063","SAN JOSÉ DE LA MONTAÑA","COL-"
"05001064","VERSALLES","COL-"
"05001065","YOLOMBO","COL-"
"05002000","ABEJORRAL","COL-"
"05002001","CHAGUALAL","COL-"
"05002002","PANTANILLO","COL-"
"05002006","PURIMA","COL-"
"05002007","PORTUGAL","COL-"
"05002010","EL CAIRO","COL-"
"05002013","CANTERAS","COL-"
"05002015","EL GUAICO","COL-"
"05002016","LAS CANOAS","COL-"
"05004000","ABRIAQUÍ","COL-"
"05004002","LA ANTIGUA","COL-"
"05021000","ALEJANDRÍA","COL-"
"05030000","AMAGÁ","COL-"
"05030001","CAMILO C","COL-"
"05030002","EL CEDRO","COL-"
"05030003","LA CLARITA","COL-"
"05030011","MINAS","COL-"
"05031000","AMALFI","COL-"
"05031004","PORTACHUELO","COL-"
"05031005","ARENAS BLANCAS","COL-"
"05031006","EL ZACATIN","COL-"
"05031007","LA GUAYANA","COL-"
"05034000","ANDES","COL-"
"05034001","BUENOS AIRES","COL-"
"05034003","SAN JOSÉ","COL-"
"05034006","SANTA RITA","COL-"
"05034007","TAPARTÓ","COL-"
"05034012","SANTA INÉS","COL-"
"05034014","SAN BARTOLO","COL-"
"05034015","LA CHAPARRALA","COL-"
"05036000","ANGELÓPOLIS","COL-"
"05036001","LA ESTACION","COL-"
"05036004","SAN ISIDRO","COL-"
"05036007","LA CLARA","COL-"
"05036010","SANTA RITA","COL-"
"05036011","CIENAGUITA","COL-"
"05038000","ANGOSTURA","COL-"
"05038008","LLANOS DE CUIBA","COL-"
"05040000","ANORÍ","COL-"
"05040002","LIBERIA","COL-"
"05040003","MONTEFROO","COL-"
"05040004","SANTO DOMINGO","COL-"
"05040005","CRISTALINAS","COL-"
"05040006","LAS NIEVES","COL-"
"05040007","MADRE SECA","COL-"
"05042000","SANTA FÉ DE ANTIOQUIA","COL-"
"05042001","CATIVO","COL-"
"05042002","GUASABRA","COL-"
"05042003","LAS AZULES","COL-"
"05042004","TONUSCO ARRIBA","COL-"
"05042006","EL PESCADO","COL-"
"05042007","SABANAS","COL-"
"05044000","ANZÁ","COL-"
"05044001","GUINTAR","COL-"
"05044002","LA CHOLINA","COL-"
"05044003","LOS LLANOS","COL-"
"05044005","LA CEJITA","COL-"
"05044006","LA HIGUINA","COL-"
"05045000","APARTADÓ","COL-"
"05045001","SAN JOSÉ DE APARTADÓ","COL-"
"05045002","CHURIDÓ","COL-"
"05045003","ZUNGO CARRETERA","COL-"
"05045007","LOS NARANJALES","COL-"
"05045008","VIJAGUAL","COL-"
"05045009","EL REPOSO","COL-"
"05045011","EL SALVADOR","COL-"
"05045014","PUERTO GIRON","COL-"
"05051000","ARBOLETES","COL-"
"05051001","BUENOS AIRES","COL-"
"05051003","EL CARMELO","COL-"
"05051005","LAS NARANJITAS","COL-"
"05051008","EL YESO","COL-"
"05051009","LA TRINIDAD","COL-"
"05051010","LAS PLATAS (SANTAFÉ)","COL-"
"05051011","LA CANDELARIA","COL-"
"05051014","EL GUADUAL","COL-"
"05051015","ARENOSA CARMELO","COL-"
"05051016","BARRANCUDA","COL-"
"05051017","LA ATOYOSA","COL-"
"05051018","PUEBLO CHINO","COL-"
"05051019","SAN JOSE DEL CARMELO","COL-"
"05055000","ARGELIA","COL-"
"05059000","ARMENIA","COL-"
"05059001","LA HERRADURA","COL-"
"05059002","LA LOMA","COL-"
"05059003","EL SOCORRO","COL-"
"05059004","MOJONES","COL-"
"05059005","CARTAGUEÑO","COL-"
"05059006","FILO SECO","COL-"
"05059007","LA PESCADORA","COL-"
"05059008","LA QUIEBRA","COL-"
"05059009","PALMICHAL","COL-"
"05059010","PALO BLANCO","COL-"
"05079000","BARBOSA","COL-"
"05079001","HATILLO","COL-"
"05079006","EL TABLAZO","COL-"
"05079007","EL VERDE","COL-"
"05079010","EL GUAYABO","COL-"
"05079011","LAS VICTORIAS","COL-"
"05079013","AGUAS CLARAS","COL-"
