"Código.Departamento","Código.Municipio","Código.Centro.Poblado","Nombre.Departamento","Nombre.Municipio","Nombre.Centro.Poblado","Tipo.Centro.Poblado","Tipo.de.Municipio","X.","Distrito","Area.Metropolitana"
"05","05001","05001000","ANTIOQUIA","MEDELLIN","MEDELLÍN","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001001","ANTIOQUIA","MEDELLIN","PALMITAS","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001004","ANTIOQUIA","MEDELLIN","SANTA ELENA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001005","ANTIOQUIA","MEDELLIN","PEDREGAL ALTO","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001009","ANTIOQUIA","MEDELLIN","ALTAVISTA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001010","ANTIOQUIA","MEDELLIN","AGUAS FRÍAS","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001012","ANTIOQUIA","MEDELLIN","LA LOMA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001013","ANTIOQUIA","MEDELLIN","SAN JOSÉ DEL MANZANILLO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001014","ANTIOQUIA","MEDELLIN","BARRO BLANCO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001015","ANTIOQUIA","MEDELLIN","EL CERRO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001017","ANTIOQUIA","MEDELLIN","EL PATIO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001018","ANTIOQUIA","MEDELLIN","EL PLACER","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001019","ANTIOQUIA","MEDELLIN","EL PLAN","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001020","ANTIOQUIA","MEDELLIN","EL TESORO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001022","ANTIOQUIA","MEDELLIN","LA ALDEA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001023","ANTIOQUIA","MEDELLIN","LA CUCHILLA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001024","ANTIOQUIA","MEDELLIN","LA FLORIDA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001025","ANTIOQUIA","MEDELLIN","LA PALMA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001027","ANTIOQUIA","MEDELLIN","LAS PLAYAS","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001029","ANTIOQUIA","MEDELLIN","PIEDRA GORDA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001031","ANTIOQUIA","MEDELLIN","POTRERITO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001032","ANTIOQUIA","MEDELLIN","TRAVESIAS","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001033","ANTIOQUIA","MEDELLIN","URQUITA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001034","ANTIOQUIA","MEDELLIN","BARRIOS DE JESÚS","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001035","ANTIOQUIA","MEDELLIN","BOQUERÓN","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
